url,prompt,output
hardt.global/,Organization Name,Hardt Hyperloop
hardt.global/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
hardt.global/,Industries,"CleanTech, Infrastructure, Transportation, Travel"
hardt.global/,Description,"Hardt develops a transport system in traveling huge distances completely emission-free, safe, and accessible to everyone."
hardt.global/,DB Rank,"11,675"
hardt.global/,Founded Date,"Oct 17, 2016"
hardt.global/,Website,hardt.global/
hardt.global/,Operating Status,Active
hardt.global/,Phone Number,+31 88 024 3920
hardt.global/,Contact Email,connect@hardt.global
hardt.global/,Actively Hiring,connect@hardt.global
hardt.global/,Full Description,"Hardt develops a transport system in traveling huge distances completely emission-free, safe, and accessible to everyone. Hardt Hyperloop has emerged from the winning team at the SpaceX Hyperloop Competition, dedicated to realizing the hyperloop."
hardt.global/,Industry Groups,"Other, Sustainability, Transportation, Travel and Tourism"
hardt.global/,Founders,"Marinus Van Der Meijs, Mars Geuze, Sascha Lamme, Tim Houter"
hardt.global/,Twitter,https://twitter.com/HardtGlobal
hardt.global/,Facebook,https://www.facebook.com/hardtglobal
hardt.global/,LinkedIn,https://www.linkedin.com/company/hardt-b.v./
www.mapiq.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.mapiq.com/,Industries,"Consumer Software, Software"
www.mapiq.com/,Description,Mapiq is a smart office technology that optimizes workspace usage enabling a better workday experience.
www.mapiq.com/,DB Rank,"14,724"
www.mapiq.com/,Website,www.mapiq.com/
www.mapiq.com/,Operating Status,Active
www.mapiq.com/,Phone Number,+310157440130
www.mapiq.com/,Contact Email,info@blinqsystems.com
www.mapiq.com/,Actively Hiring,info@blinqsystems.com
www.mapiq.com/,Full Description,"Mapiq allows organisations to make data-driven decisions on their housing and safe costs. Every square metre of office space accounts for around 70 kg of CO2 emissions annually. Mapiq has ambitious and highly skilled team of engineers, designers, software developers, marketers, psychologists, and architects. Their mission—and passion—is to create dynamic work environments where people actually want to be. They believe the office can inspire and bring out the best in people and, together, they create space for unparalleled efficiency and innovation."
www.mapiq.com/,Industry Groups,Software
www.mapiq.com/,Founders,"Jasper Schuurmans, Sander Schutte"
www.mapiq.com/,Number of Employees,51-100
www.mapiq.com/,Twitter,https://twitter.com/mapiq
www.mapiq.com/,Facebook,https://www.facebook.com/Breeze.date
www.mapiq.com/,LinkedIn,https://www.linkedin.com/company-beta/9247504
www.appsilonscientific.com,Organization Name,Appsilon Enterprise B.V.
www.appsilonscientific.com,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.appsilonscientific.com,Industries,"Advanced Materials, Jewelry, Nanotechnology"
www.appsilonscientific.com,Description,Appsilon Enterprise is a deep tech company that grows diamonds in the lab.
www.appsilonscientific.com,DB Rank,"19,918"
www.appsilonscientific.com,Founded Date,Feb 2017
www.appsilonscientific.com,Website,www.appsilonscientific.com
www.appsilonscientific.com,Operating Status,Active
www.appsilonscientific.com,Contact Email,info@appsilonenterprise.com
www.appsilonscientific.com,Actively Hiring,info@appsilonenterprise.com
www.appsilonscientific.com,Full Description,"We re-create the earth’s process to grow diamond. Our plasma chamber is like the Sun on the Earth. Atom by atom, the diamond lattice form and it’s the same with how diamond forms in nature. We mimic the process, but the result is the same with nature-born."
www.appsilonscientific.com,Industry Groups,"Consumer Goods, Manufacturing, Science and Engineering"
www.appsilonscientific.com,Founders,"Alpcan Erdoğan, Bugra Kuloglu"
www.appsilonscientific.com,Twitter,https://twitter.com/nowi_energy
www.appsilonscientific.com,Facebook,https://www.facebook.com/nowienergy/
www.appsilonscientific.com,LinkedIn,https://www.linkedin.com/company/appsilon-advanced-materials/
breeze.social,Organization Name,Breeze
breeze.social,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
breeze.social,Industries,"Apps, Dating, Hospitality, Mobile Apps"
breeze.social,Description,Breeze has developed world's first dating app that manages to organise offline dates at scale.
breeze.social,DB Rank,"23,565"
breeze.social,Website,breeze.social
breeze.social,Operating Status,Active
breeze.social,Phone Number,+31647069688
breeze.social,Contact Email,hello@breeze.social
breeze.social,Actively Hiring,hello@breeze.social
breeze.social,Full Description,"Unlike traditional dating apps, Breeze does not allow for chatting. Instead, users schedule a date directly via a date picker after a mutual interest, or a ‘match.’ The startup then makes a reservation at one of its affiliated hospitality partners. However, both users pay a small fee for the date, including a first drink. Breeze was established in 2019 in Zuid-Holland, The Netherlands."
breeze.social,Industry Groups,"Apps, Community and Lifestyle, Mobile, Software, Travel and Tourism"
breeze.social,Founders,"Daan Alkemade, Joris van Doorninck, Marco van der Woude, Marsha Goei, Philip van den Heuvel, Thomas Oomens, Thomas van der Pas"
breeze.social,Twitter,https://twitter.com/IKEAUSA
breeze.social,Facebook,https://www.facebook.com/IKEAUSA
breeze.social,LinkedIn,https://www.linkedin.com/company/breezesocial
www.nowi-energy.com,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.nowi-energy.com,Industries,"Consumer Electronics, Energy, Energy Management, Internet of Things, Semiconductor, Sensor"
www.nowi-energy.com,Description,Nowi is developing a Power Module (energy harvesting PMIC) that enables IoT sensors to live forever
www.nowi-energy.com,DB Rank,"24,588"
www.nowi-energy.com,Website,www.nowi-energy.com
www.nowi-energy.com,Operating Status,Active
www.nowi-energy.com,Contact Email,info@nowi-energy.com
www.nowi-energy.com,Actively Hiring,info@nowi-energy.com
www.nowi-energy.com,Full Description,"NOWI has developed a small chip that enables the Internet of Things devices to live forever. Instead of needing to continuously bring energy to your device in the form of cables and battery changes, NOWI's technology enables companies to use the energy that is already readily available around the device. This can be light, heat, movement or even radio waves. There is energy all around us that can be used to power IoT devices. With NOWI's patented technology it is becoming possible for the first time to effectively use these sources as a reliable power source."
www.nowi-energy.com,Industry Groups,"Consumer Electronics, Energy, Hardware, Internet Services, Science and Engineering"
www.nowi-energy.com,Founders,"Omar Link, Simon van der Jagt"
www.nowi-energy.com,Twitter,https://twitter.com/PowerWindowTeam
www.nowi-energy.com,Facebook,https://www.facebook.com/physeegroup/
www.nowi-energy.com,LinkedIn,https://www.linkedin.com/company/nowi
www.ikea.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.ikea.com/,Industries,"Furniture, Home Decor, Retail, Shopping"
www.ikea.com/,Description,"IKEA Systems offers a wide range of well-designed, functional home furnishing products."
www.ikea.com/,DB Rank,"25,182"
www.ikea.com/,Website,www.ikea.com/
www.ikea.com/,Estimated Revenue,$1B to $10B
www.ikea.com/,Operating Status,Active
www.ikea.com/,Full Description,"IKEA Systems is a Swedish-founded Dutch-based multinational group that offers a wide range of well-designed, functional home furnishing products. The IKEA Group has 330 stores in 28 countries. In addition there are more than 40 stores run by franchisees outside the IKEA Group. The IKEA Group had 771 million visits during FY15 and 1.9 billion people visited IKEA.com"
www.ikea.com/,Industry Groups,"Commerce and Shopping, Consumer Goods, Real Estate"
www.ikea.com/,Founders,Ingvar Kamprad
www.ikea.com/,Number of Employees,10001+
www.ikea.com/,Twitter,https://twitter.com/Nurtio_official
www.ikea.com/,Facebook,https://www.facebook.com/nurtio.official/
www.ikea.com/,LinkedIn,https://www.linkedin.com/company/2743/
www.rocsys.com/,Organization Name,ROCSYS
www.rocsys.com/,Headquarters Location,"Delft, Zuid-Holland, The Netherlands"
www.rocsys.com/,Industries,"Electric Vehicle, Electrical Distribution"
www.rocsys.com/,Description,ROCSYS is the charging automation company.
www.rocsys.com/,DB Rank,"27,298"
www.rocsys.com/,Website,www.rocsys.com/
www.rocsys.com/,Operating Status,Active
www.rocsys.com/,Phone Number,+31 (0)15 760 16 05
