url,location
https://www.airborne.com,"[51.9952189, 4.3648123]"
simpact.co,"[52.01060289999999, 4.3571323]"
abfresearch.nl/,"[52.0136165, 4.3591561]"
plafonddroogrek.nl/,"[52.0257626, 4.3556992]"
https://www.fatec-engineering.com/,"[52.0021919, 4.3735766]"
wolkenclothing.com/,"[52.0098366, 4.3625276]"
www.tribess.com/,"[51.99378069999999, 4.3871215]"
www.comon-invent.com/,"[51.9847985, 4.335597]"
onlinepaymentplatform.com,"[52.0063185, 4.3635353]"
coolloom.nl/,"[52.0118724, 4.3675934]"
www.brightsight.com,"[52.02648689999999, 4.3574769]"
www.wegain.nl/,"[51.9897258, 4.3696766]"
https://ke-chain.com/nl/,"[51.99364, 4.387074]"
delft-imp.nl/,"[51.9929128, 4.384589399999999]"
www.riscure.com,"[51.9979163, 4.3856156]"
biodentify.ai,"[51.9972436, 4.383291499999999]"
fleetcleaner.com,"[52.00803, 4.3713108]"
www.pyxis-discovery.com/index.html,"[51.9970001, 4.3850888]"
gorespyre.com/,"[51.9933333, 4.3869444]"
www.senz.com,"[51.99815419999999, 4.3538453]"
www.geosignum.nl/,"[51.9920317, 4.3885891]"
www.c-cube-international.com,"[51.9932666, 4.3857791]"
www.p2endure-project.eu,"[-1, -1]"
varows.com,"[52.0109082, 4.3683907]"
nerdslikeus.nl/,"[51.9973396, 4.3532074]"
en.laevo.nl/,"[52.0279696, 4.3538133]"
manometric.nl/,"[52.0706824, 4.3974403]"
papiopad.nl/,"[52.0044608, 4.3597039]"
www.insyde.nl,"[52.0093185, 4.3580985]"
www.nextocean.nl/,"[52.0171888, 4.3595953]"
www.hydrologic.com,"[52.0071396, 4.3582239]"
www.delmic.com/,"[52.0084743, 4.3685027]"
www.calcasa.nl,"[52.01157689999999, 4.3570677]"
mediamedics.nl,"[52.0093263, 4.3537469]"
www.couplespicks.com,"[52.0117883, 4.3602248]"
irm-sys.com/,"[52.0042319, 4.3661048]"
e-semble.com/,"[52.0027853, 4.354036499999999]"
reinierdegraaf.nl/,"[51.9979257, 4.3394012]"
www.medishielddelft.com,"[52.0093469, 4.3526808]"
https://www.keykeg.com/,"[52.9110922, 4.789281799999999]"
www.aanmelder.nl,"[52.010623, 4.354971]"
tipit.to,"[52.0181359, 4.354547999999999]"
brondexshop.com,"[52.0075606, 4.3622318]"
www.tracefy.com/,"[52.0404834, 4.3286722]"
orbitaleye.nl/,"[52.01430209999999, 4.3761632]"
soopexclusive.com/,"[52.01427349999999, 4.3537422]"
www.aandegracht.nl,"[52.1600164, 4.4916437]"
www.34rose.nl,"[51.9815032, 4.342721099999999]"
www.thermeleon.nl/,"[52.00456730000001, 4.369791200000001]"
www.praxasense.com/,"[51.9937918, 4.3871633]"
chipin.nl,"[51.9864653, 4.3457019]"
rhmdc.nl/,"[51.9971107, 4.3383088]"
www.rocsys.com/,"[52.03428479999999, 4.346220199999999]"
https://www.jacksavior.com/,"[51.99377750000001, 4.3871094]"
www.inkless.ink,"[52.0041371, 4.3511921]"
www.appsilonscientific.com,"[52.0073261, 4.3564129]"
www.qualinx.nl/,"[51.9928105, 4.3850773]"
www.knottenwol.nl,"[52.0114908, 4.3633088]"
www.birdcontrolgroup.com,"[51.9931085, 4.3853591]"
www.sujola.com/,"[52.0114446, 4.358448399999999]"
www.delftdynamics.nl/,"[51.9931639, 4.3857805]"
www.uvsmart.nl/,"[52.0276055, 4.3553372]"
www.techmaus.nl/,"[-1, -1]"
flexsolsolutions.com,"[51.9921359, 4.3728042]"
www.robot-rose.nl/nc/home,"[51.9933333, 4.3869444]"
www.deltares.nl/,"[51.9857533, 4.380139]"
www.skopei360.com/,"[52.007223, 4.369496]"
https://www.spinintech.com/,"[51.9977872, 4.3555642]"
www.symbaloo.com,"[52.01119629999999, 4.3618634]"
www.turff.nl/,"[51.9951269, 4.3673132]"
http://www.wabco-auto.com/wabco/,"[51.9943985, 4.4022457]"
www.vabi.nl/,"[52.0258804, 4.362718800000001]"
www.lacquey.nl,"[52.00805219999999, 4.371319]"
naturesprinciples.eu/,"[-1, -1]"
robobusinessmedia.com,"[52.0079807, 4.3713092]"
https://aels.nl/,"[52.0339883, 4.4987289]"
www.bizziphone.com,"[52.0127836, 4.3752202]"
www.aame.nl,"[52.01453069999999, 4.3758036]"
www.stilwearable.com/,"[51.9931568, 4.385791999999999]"
www.qsight.nl/,"[51.4133347, 5.4256307]"
bigmile.eu,"[52.1395189, 5.0406552]"
sealeau.com/,"[52.01219390000001, 4.3547889]"
www.kindowblinds.com/,"[51.9929322, 4.3858403]"
www.fox-it.com/en/,"[52.0134579, 4.3772951]"
wavyr.com,"[51.9897258, 4.3696766]"
uniresearch.com,"[51.9977797, 4.3853019]"
www.mylenses.nl/,"[52.0107887, 4.3582991]"
vastinvorm.nl/,"[52.01809309999999, 4.3543046]"
planmaat.nl/index.php,"[52.0040397, 4.3583719]"
https://ursaminor.nl/,"[52.0021919, 4.3735766]"
www.kinesis.nl/,"[52.0101446, 4.3707608]"
magneto.systems,"[51.929828, 4.4010033]"
www.clinicalgraphics.com,"[51.99301939999999, 4.3850086]"
www.forze-delft.nl/,"[51.9954778, 4.366459]"
www.physee.eu/,"[52.000223, 4.3769195]"
catena.tech/,"[51.996999, 4.3856494]"
www.wineswine.nl/,"[52.1569113, 4.4729833]"
bryder.com/,"[52.0063629, 4.366361299999999]"
www.rabbitblast.nl,"[52.0073579, 4.3744517]"
www.orangewings.nl/,"[52.0098023, 4.3557828]"
